년월,지역,국가,제주_한국,입도객 수
202508,서구등,기타,제주,8736
202508,서구등,미국,제주,4405
202508,아시아,태국,한국,18844
202508,아시아,중국,한국,604618
202508,아시아,일본,한국,378852
202508,아시아,인도네시아,한국,24800
202508,아시아,싱가폴,한국,15894
202508,아시아,베트남,한국,51664
202508,아시아,말레이시아,한국,15516
202508,아시아,대만,한국,191565
202508,아시아,기타,한국,106392
202508,서구등,미국,한국,111754
202508,서구등,기타,한국,235573
202508,아시아,홍콩,제주,6168
202508,아시아,태국,제주,1530
202508,아시아,중국,제주,185107
202508,아시아,일본,제주,5512
202508,아시아,인도네시아,제주,1482
202508,아시아,싱가폴,제주,2265
202508,아시아,베트남,제주,537
202508,아시아,말레이시아,제주,1001
202508,아시아,대만,제주,23061
202508,아시아,기타,제주,5704
202508,아시아,홍콩,한국,64860
